Invoice ID,Date,Category,Product,Unit Price (Naira),Quantity,Sales (Naira),Payment,COGS (Naira),Gross Income(Naira),
INV4358,1/2/2025,Pharmaceuticals,Pain Relief Balm,2500,10,25000,Cash,3000,30000,
INV4373,1/2/2025,Clothing,Jeans,10000,9,90000,Transfer,12000,108000,
INV4399,1/2/2025,Electronics,Extension Box,8000,6,48000,Cash,9600,57600,
INV4506,1/2/2025,Food items,Beans,60000,6,360000,Transfer,72000,432000,
INV4692,1/2/2025,Sport,Running Shoes,15000,8,120000,Transfer,18000,144000,
INV4785,1/2/2025,Sport,Football,2800,6,16800,Card,3360,20160,
INV0021,1/3/2025,Food items,Spaghetti,6000,9,54000,Transfer,7200,64800,
INV0022,1/3/2025,Household,Detergent,6900,1,6900,Cash,8280,8280,
INV0023,1/3/2025,Snacks,Chips,400,8,3200,Cash,480,3840,
INV0024,1/3/2025,Beverages,Pepsi,2880,7,20160,Card,3456,24192,
INV0025,1/3/2025,Beverages,Fanta,2880,9,25920,Transfer,3456,31104,
INV0026,1/3/2025,Household,Toothpaste,800,10,8000,Card,960,9600,
INV0027,1/3/2025,Beverages,Coke,2880,3,8640,Cash,3456,10368,
INV0028,1/3/2025,Household,Shampoo,1200,3,3600,Cash,1440,4320,
INV0029,1/3/2025,Household,Detergent,6900,1,6900,Cash,8280,8280,
INV3137,1/3/2025,Food items,Sugar,3600,5,18000,Transfer,4320,21600,
INV3256,1/3/2025,Dairy,Milk,9100,5,45500,Cash,10920,54600,
INV3302,1/3/2025,Food items,Rice,48000,5,240000,Card,57600,288000,
INV4118,1/3/2025,Pharmaceuticals,Paracetamol,1000,5,5000,Card,1200,6000,
INV4153,1/3/2025,Pharmaceuticals,Paracetamol,1000,9,9000,Transfer,1200,10800,
INV4219,1/3/2025,Pharmaceuticals,Vitamin C,1000,2,2000,Cash,1200,2400,
INV4322,1/3/2025,Household,Toilet Paper,4000,5,20000,Card,4800,24000,
INV4489,1/3/2025,Pharmaceuticals,Antibiotics,2000,1,2000,Cash,2400,2400,
INV4725,1/3/2025,Sport,Running Shoes,15000,1,15000,Cash,18000,18000,
INV4882,1/3/2025,Household,Toilet Paper,4000,6,24000,Card,4800,28800,
INV4935,1/3/2025,Pharmaceuticals,Paracetamol,1000,8,8000,Card,1200,9600,
INV0030,1/4/2025,Food items,Rice,48000,5,240000,Cash,57600,288000,
INV0031,1/4/2025,Food items,Beans,60000,10,600000,Transfer,72000,720000,
INV0032,1/4/2025,Food items,Bread,500,3,1500,Transfer,600,1800,
INV0033,1/4/2025,Beverages,Pepsi,2880,2,5760,Cash,3456,6912,
INV0034,1/4/2025,Beverages,Pepsi,2880,4,11520,Cash,3456,13824,
INV0035,1/4/2025,Food items,Spaghetti,6000,5,30000,Cash,7200,36000,
INV0036,1/4/2025,Household,Toothpaste,800,6,4800,Transfer,960,5760,
INV0037,1/4/2025,Food items,Beans,60000,10,600000,Transfer,72000,720000,
INV3268,1/4/2025,Food items,Coffee,1900,5,9500,Card,2280,11400,
INV3922,1/4/2025,Food items,Rice,48000,1,48000,Cash,57600,57600,
INV4104,1/4/2025,Electronics,Phone Charger,2000,1,2000,Card,2400,2400,
INV4154,1/4/2025,Electronics,Earphones,1000,9,9000,Cash,1200,10800,
INV4161,1/4/2025,Sport,Skipping Rope,3000,3,9000,Cash,3600,10800,
INV4217,1/4/2025,Household,Detergent,6900,10,69000,Card,8280,82800,
INV4355,1/4/2025,Clothing,T-shirt,8000,4,32000,Card,9600,38400,
INV4360,1/4/2025,Pharmaceuticals,Cough Syrup,2000,5,10000,Transfer,2400,12000,
INV0038,1/5/2025,Beverages,Pepsi,2880,2,5760,Cash,3456,6912,
INV0039,1/5/2025,Household,Soap,1700,2,3400,Card,2040,4080,
INV0040,1/5/2025,Snacks,Chocolate,3000,6,18000,Transfer,3600,21600,
INV0041,1/5/2025,Food items,Rice,48000,4,192000,Cash,57600,230400,
INV0042,1/5/2025,Snacks,Biscuits,5200,1,5200,Transfer,6240,6240,
INV0043,1/5/2025,Food items,Rice,48000,7,336000,Cash,57600,403200,
INV0044,1/5/2025,Snacks,Biscuits,5200,8,41600,Cash,6240,49920,
INV0045,1/5/2025,Household,Soap,1700,4,6800,Cash,2040,8160,
INV3183,1/5/2025,Food items,Bread,500,2,1000,Card,600,1200,
INV3798,1/5/2025,Food items,Eggs,3300,3,9900,Card,3960,11880,
INV3948,1/5/2025,Pharmaceuticals,Antibiotics,2000,7,14000,Transfer,2400,16800,162
INV4054,1/5/2025,Clothing,T-shirt,8000,6,48000,Transfer,9600,57600,
INV4191,1/5/2025,Household,Detergent,6900,4,27600,Card,8280,33120,
INV4216,1/5/2025,Household,Toilet Paper,4000,4,16000,Card,4800,19200,
INV4324,1/5/2025,Household,Toilet Paper,4000,9,36000,Transfer,4800,43200,
INV4449,1/5/2025,Clothing,Shoes,15000,1,15000,Cash,18000,18000,
INV4459,1/5/2025,Household,Bucket,2500,5,12500,Transfer,3000,15000,
INV4484,1/5/2025,Clothing,Cap,2000,1,2000,Card,2400,2400,
INV4492,1/5/2025,Food items,Garri,35000,1,35000,Transfer,42000,42000,
INV4714,1/5/2025,Clothing,Shoes,15000,3,45000,Transfer,18000,54000,
INV4884,1/5/2025,Pharmaceuticals,Vitamin C,1000,7,7000,Transfer,1200,8400,
INV4893,1/5/2025,Electronics,LED Bulb,500,7,3500,Transfer,600,4200,
INV0046,1/6/2025,Beverages,Coke,2880,1,2880,Transfer,3456,3456,
INV0047,1/6/2025,Household,Shampoo,1200,4,4800,Card,1440,5760,
INV0048,1/6/2025,Beverages,Water,1750,2,3500,Cash,2100,4200,
INV0049,1/6/2025,Household,Toothpaste,800,1,800,Card,960,960,
INV0050,1/6/2025,Food items,Beans,60000,4,240000,Cash,72000,288000,
INV0051,1/6/2025,Food items,Bread,500,4,2000,Transfer,600,2400,
INV0052,1/6/2025,Food items,Rice,48000,8,384000,Card,57600,460800,
INV0053,1/6/2025,Household,Detergent,6900,4,27600,Transfer,8280,33120,
INV0054,1/6/2025,Snacks,Chips,400,6,2400,Transfer,480,2880,
INV2919,1/6/2025,Food items,Eggs,3300,3,9900,Cash,3960,11880,
INV3147,1/6/2025,Food items,Sugar,3600,2,7200,Cash,4320,8640,
INV3215,1/6/2025,Household,Soap,1700,10,17000,Cash,2040,20400,
INV4018,1/6/2025,Food items,Garri,35000,10,350000,Cash,42000,420000,
INV4202,1/6/2025,Household,Bucket,2500,8,20000,Transfer,3000,24000,
INV4230,1/6/2025,Sport,Jersey,13000,1,13000,Transfer,15600,15600,
INV4313,1/6/2025,Clothing,Cap,2000,4,8000,Transfer,2400,9600,
INV4332,1/6/2025,Food items,Palm Oil,50000,5,250000,Card,60000,300000,
INV4645,1/6/2025,Household,Broom,500,4,2000,Transfer,600,2400,
INV4651,1/6/2025,Pharmaceuticals,Pain Relief Balm,2500,9,22500,Card,3000,27000,
INV4817,1/6/2025,Sport,Running Shoes,15000,4,60000,Card,18000,72000,
INV4903,1/6/2025,Clothing,Jeans,10000,7,70000,Cash,12000,84000,
INV0055,1/7/2025,Beverages,Pepsi,2880,4,11520,Transfer,3456,13824,
INV0056,1/7/2025,Household,Soap,1700,8,13600,Transfer,2040,16320,
INV0057,1/7/2025,Household,Shampoo,1200,10,12000,Transfer,1440,14400,
INV0058,1/7/2025,Snacks,Biscuits,5200,1,5200,Card,6240,6240,
INV0059,1/7/2025,Household,Detergent,6900,10,69000,Cash,8280,82800,
INV0060,1/7/2025,Beverages,Fanta,2880,1,2880,Card,3456,3456,
INV0061,1/7/2025,Snacks,Chocolate,3000,8,24000,Transfer,3600,28800,
INV0062,1/7/2025,Snacks,Chocolate,3000,8,24000,Cash,3600,28800,
INV0063,1/7/2025,Household,Shampoo,1200,4,4800,Card,1440,5760,
INV3010,1/7/2025,Food items,Eggs,3300,4,13200,Card,3960,15840,
INV3337,1/7/2025,Food items,Sugar,3600,9,32400,Cash,4320,38880,
INV3377,1/7/2025,Household,Toothpaste,800,10,8000,Cash,960,9600,
INV3476,1/7/2025,Household,Soap,1700,3,5100,Card,2040,6120,
INV3584,1/7/2025,Household,Toothpaste,800,5,4000,Cash,960,4800,
INV3934,1/7/2025,Food items,Coffee,1900,10,19000,Cash,2280,22800,
INV3983,1/7/2025,Sport,Dumbbells,400,1,400,Cash,480,480,
INV4015,1/7/2025,Clothing,Jeans,10000,6,60000,Card,12000,72000,
INV4196,1/7/2025,Electronics,LED Bulb,500,4,2000,Card,600,2400,
INV4220,1/7/2025,Household,Bucket,2500,9,22500,Transfer,3000,27000,
INV4223,1/7/2025,Clothing,Jeans,10000,7,70000,Transfer,12000,84000,
INV4224,1/7/2025,Household,Bucket,2500,10,25000,Transfer,3000,30000,
INV4303,1/7/2025,Food items,Palm Oil,50000,4,200000,Cash,60000,240000,
INV4495,1/7/2025,Sport,Jersey,13000,9,117000,Transfer,15600,140400,
INV4528,1/7/2025,Food items,Palm Oil,50000,3,150000,Cash,60000,180000,
INV0064,1/8/2025,Household,Toothpaste,800,8,6400,Transfer,960,7680,
INV0065,1/8/2025,Household,Detergent,6900,1,6900,Cash,8280,8280,
INV0066,1/8/2025,Household,Detergent,6900,10,69000,Card,8280,82800,
INV0067,1/8/2025,Household,Toothpaste,800,9,7200,Card,960,8640,
INV0068,1/8/2025,Beverages,Pepsi,2880,9,25920,Cash,3456,31104,
INV0069,1/8/2025,Household,Detergent,6900,8,55200,Transfer,8280,66240,
INV0070,1/8/2025,Household,Soap,1700,5,8500,Cash,2040,10200,
INV0071,1/8/2025,Snacks,Chocolate,3000,4,12000,Card,3600,14400,
INV0072,1/8/2025,Household,Soap,1700,1,1700,Cash,2040,2040,
INV0073,1/8/2025,Snacks,Chips,400,3,1200,Cash,480,1440,
INV2800,1/8/2025,Food items,Rice,48000,5,240000,Transfer,57600,288000,
INV2818,1/8/2025,Household,Soap,1700,4,6800,Card,2040,8160,
INV3128,1/8/2025,Food items,Coffee,1900,8,15200,Transfer,2280,18240,
INV3315,1/8/2025,Household,Soap,1700,4,6800,Card,2040,8160,
INV3396,1/8/2025,Food items,Tea,600,10,6000,Card,720,7200,
INV3674,1/8/2025,Food items,Coffee,1900,3,5700,Cash,2280,6840,
INV3710,1/8/2025,Food items,Bread,500,3,1500,Cash,600,1800,
INV4075,1/8/2025,Clothing,Shoes,15000,9,135000,Cash,18000,162000,
INV4076,1/8/2025,Food items,Yam Flour,62000,8,496000,Transfer,74400,595200,
INV4215,1/8/2025,Food items,Palm Oil,50000,10,500000,Card,60000,600000,
INV4364,1/8/2025,Household,Toilet Paper,4000,4,16000,Transfer,4800,19200,
INV4391,1/8/2025,Clothing,Cap,2000,1,2000,Transfer,2400,2400,
INV4430,1/8/2025,Sport,Running Shoes,15000,5,75000,Card,18000,90000,
INV4454,1/8/2025,Sport,Football,2800,3,8400,Card,3360,10080,
INV4552,1/8/2025,Clothing,Cap,2000,7,14000,Card,2400,16800,
INV4633,1/8/2025,Household,Bucket,2500,2,5000,Card,3000,6000,
INV4634,1/8/2025,Sport,Dumbbells,400,2,800,Cash,480,960,
INV4674,1/8/2025,Household,Bucket,2500,3,7500,Transfer,3000,9000,
INV4694,1/8/2025,Clothing,Wristwatch,12000,10,120000,Card,14400,144000,
INV4755,1/8/2025,Electronics,Extension Box,8000,4,32000,Cash,9600,38400,
INV4796,1/8/2025,Food items,Beans,60000,9,540000,Cash,72000,648000,
INV4809,1/8/2025,Sport,Jersey,13000,2,26000,Transfer,15600,31200,
INV4812,1/8/2025,Electronics,Earphones,1000,3,3000,Card,1200,3600,
INV4816,1/8/2025,Food items,Palm Oil,50000,3,150000,Card,60000,180000,
INV4828,1/8/2025,Food items,Yam Flour,62000,10,620000,Transfer,74400,744000,
INV0074,1/9/2025,Household,Soap,1700,2,3400,Cash,2040,4080,
INV0075,1/9/2025,Household,Soap,1700,3,5100,Card,2040,6120,
INV0076,1/9/2025,Food items,Bread,500,10,5000,Transfer,600,6000,
INV0077,1/9/2025,Food items,Beans,60000,10,600000,Card,72000,720000,
INV0078,1/9/2025,Snacks,Chips,400,6,2400,Card,480,2880,
INV0079,1/9/2025,Food items,Bread,500,9,4500,Card,600,5400,
INV2763,1/9/2025,Dairy,Butter,120,8,960,Card,144,1152,
INV3750,1/9/2025,Food items,Eggs,3300,9,29700,Card,3960,35640,
INV4024,1/9/2025,Clothing,Wristwatch,12000,9,108000,Card,14400,129600,
INV4305,1/9/2025,Sport,Running Shoes,15000,10,150000,Card,18000,180000,
INV4630,1/9/2025,Clothing,Jeans,10000,6,60000,Card,12000,72000,
INV4780,1/9/2025,Sport,Jersey,13000,8,104000,Transfer,15600,124800,
INV4784,1/9/2025,Clothing,Wristwatch,12000,5,60000,Card,14400,72000,
INV4899,1/9/2025,Household,Cooking Gas,1950,3,5850,Transfer,2340,7020,
INV4906,1/9/2025,Household,Toilet Paper,4000,10,40000,Cash,4800,48000,
INV4932,1/9/2025,Electronics,LED Bulb,500,7,3500,Card,600,4200,
INV0080,1/10/2025,Household,Soap,1700,1,1700,Cash,2040,2040,
INV0081,1/10/2025,Snacks,Chips,400,9,3600,Cash,480,4320,
INV0082,1/10/2025,Beverages,Coke,2880,7,20160,Transfer,3456,24192,
INV0083,1/10/2025,Beverages,Water,1750,3,5250,Card,2100,6300,
INV0084,1/10/2025,Beverages,Coke,2880,8,23040,Cash,3456,27648,
INV0085,1/10/2025,Beverages,Pepsi,2880,6,17280,Cash,3456,20736,
INV0086,1/10/2025,Food items,Spaghetti,6000,3,18000,Card,7200,21600,
INV0087,1/10/2025,Household,Toothpaste,800,1,800,Card,960,960,
INV2834,1/10/2025,Dairy,Milk,9100,6,54600,Card,10920,65520,
INV2902,1/10/2025,Food items,Coffee,1900,9,17100,Transfer,2280,20520,
INV2962,1/10/2025,Food items,Coffee,1900,5,9500,Cash,2280,11400,
INV3113,1/10/2025,Food items,Sugar,3600,6,21600,Card,4320,25920,
INV3278,1/10/2025,Dairy,Milk,9100,9,81900,Transfer,10920,98280,
INV3433,1/10/2025,Food items,Eggs,3300,3,9900,Cash,3960,11880,628
INV3861,1/10/2025,Food items,Bread,500,1,500,Transfer,600,600,
INV3956,1/10/2025,Pharmaceuticals,Antibiotics,2000,2,4000,Cash,2400,4800,
INV3980,1/10/2025,Sport,Jersey,13000,8,104000,Transfer,15600,124800,
INV4040,1/10/2025,Sport,Running Shoes,15000,7,105000,Transfer,18000,126000,
INV4245,1/10/2025,Household,Detergent,6900,6,41400,Cash,8280,49680,
INV4265,1/10/2025,Electronics,LED Bulb,500,5,2500,Transfer,600,3000,
INV4516,1/10/2025,Clothing,T-shirt,8000,7,56000,Cash,9600,67200,
INV4871,1/10/2025,Sport,Running Shoes,15000,7,105000,Transfer,18000,126000,
INV4873,1/10/2025,Electronics,Power Bank,12000,4,48000,Card,14400,57600,
INV4904,1/10/2025,Food items,Rice,48000,9,432000,Card,57600,518400,
INV0088,1/11/2025,Household,Toothpaste,800,10,8000,Transfer,960,9600,
INV0089,1/11/2025,Beverages,Water,1750,2,3500,Card,2100,4200,
INV0090,1/11/2025,Household,Soap,1700,4,6800,Card,2040,8160,
INV0091,1/11/2025,Beverages,Coke,2880,1,2880,Card,3456,3456,
INV0092,1/11/2025,Food items,Rice,48000,9,432000,Transfer,57600,518400,
INV0093,1/11/2025,Household,Detergent,6900,10,69000,Cash,8280,82800,
INV0094,1/11/2025,Household,Soap,1700,5,8500,Transfer,2040,10200,
INV0095,1/11/2025,Snacks,Chips,400,5,2000,Card,480,2400,
INV0096,1/11/2025,Food items,Bread,500,10,5000,Card,600,6000,
INV0097,1/11/2025,Food items,Beans,60000,3,180000,Card,72000,216000,
INV3910,1/11/2025,Food items,Coffee,1900,5,9500,Card,2280,11400,
INV4173,1/11/2025,Sport,Running Shoes,15000,2,30000,Transfer,18000,36000,
INV4187,1/11/2025,Clothing,Cap,2000,1,2000,Cash,2400,2400,
INV4188,1/11/2025,Food items,Palm Oil,50000,9,450000,Transfer,60000,540000,
INV4328,1/11/2025,Sport,Skipping Rope,3000,4,12000,Card,3600,14400,
INV4354,1/11/2025,Food items,Yam Flour,62000,5,310000,Transfer,74400,372000,
INV4627,1/11/2025,Food items,Beans,60000,6,360000,Cash,72000,432000,
INV4671,1/11/2025,Food items,Palm Oil,50000,7,350000,Card,60000,420000,
INV4705,1/11/2025,Household,Broom,500,6,3000,Card,600,3600,
INV0098,1/12/2025,Food items,Rice,48000,4,192000,Card,57600,230400,
INV0099,1/12/2025,Snacks,Chips,400,1,400,Transfer,480,480,
INV0100,1/12/2025,Food items,Beans,60000,2,120000,Transfer,72000,144000,
INV0101,1/12/2025,Food items,Spaghetti,6000,7,42000,Card,7200,50400,
INV0102,1/12/2025,Household,Detergent,6900,1,6900,Cash,8280,8280,
INV3123,1/12/2025,Food items,Bread,500,4,2000,Card,600,2400,
INV3341,1/12/2025,Household,Soap,1700,6,10200,Transfer,2040,12240,
INV3520,1/12/2025,Food items,Rice,48000,9,432000,Card,57600,518400,
INV4025,1/12/2025,Clothing,Cap,2000,9,18000,Transfer,2400,21600,
INV4053,1/12/2025,Electronics,Power Bank,12000,10,120000,Cash,14400,144000,
INV4069,1/12/2025,Sport,Jersey,13000,7,91000,Transfer,15600,109200,
INV4366,1/12/2025,Pharmaceuticals,Cough Syrup,2000,2,4000,Cash,2400,4800,
INV4396,1/12/2025,Pharmaceuticals,Antibiotics,2000,1,2000,Transfer,2400,2400,
INV4494,1/12/2025,Clothing,T-shirt,8000,10,80000,Transfer,9600,96000,
INV4571,1/12/2025,Clothing,Cap,2000,10,20000,Cash,2400,24000,
INV4647,1/12/2025,Household,Cooking Gas,1950,10,19500,Cash,2340,23400,
INV4686,1/12/2025,Electronics,Power Bank,12000,8,96000,Cash,14400,115200,
INV4748,1/12/2025,Sport,Dumbbells,400,6,2400,Card,480,2880,
INV4811,1/12/2025,Household,Detergent,6900,7,48300,Cash,8280,57960,
INV0103,1/13/2025,Food items,Beans,60000,1,60000,Card,72000,72000,
INV0104,1/13/2025,Household,Soap,1700,8,13600,Card,2040,16320,
INV0105,1/13/2025,Household,Shampoo,1200,4,4800,Card,1440,5760,
INV0106,1/13/2025,Household,Shampoo,1200,6,7200,Transfer,1440,8640,
INV0107,1/13/2025,Snacks,Chips,400,9,3600,Card,480,4320,
INV0108,1/13/2025,Food items,Spaghetti,6000,1,6000,Transfer,7200,7200,
INV0109,1/13/2025,Household,Detergent,6900,10,69000,Cash,8280,82800,
INV0110,1/13/2025,Beverages,Coke,2880,10,28800,Transfer,3456,34560,
INV3352,1/13/2025,Dairy,Milk,9100,4,36400,Card,10920,43680,
INV3754,1/13/2025,Household,Soap,1700,7,11900,Card,2040,14280,
INV3816,1/13/2025,Food items,Tea,600,8,4800,Card,720,5760,
INV3944,1/13/2025,Dairy,Butter,120,9,1080,Cash,144,1296,
INV4023,1/13/2025,Electronics,LED Bulb,500,10,5000,Card,600,6000,
INV4143,1/13/2025,Clothing,Wristwatch,12000,1,12000,Card,14400,14400,
INV4380,1/13/2025,Electronics,Power Bank,12000,6,72000,Transfer,14400,86400,
INV4475,1/13/2025,Clothing,Shoes,15000,2,30000,Transfer,18000,36000,
INV4521,1/13/2025,Food items,Beans,60000,2,120000,Card,72000,144000,
INV4564,1/13/2025,Sport,Running Shoes,15000,6,90000,Transfer,18000,108000,
INV4833,1/13/2025,Sport,Football,2800,7,19600,Card,3360,23520,
INV4875,1/13/2025,Pharmaceuticals,Cough Syrup,2000,9,18000,Transfer,2400,21600,
INV4901,1/13/2025,Food items,Rice,48000,4,192000,Card,57600,230400,
INV4915,1/13/2025,Household,Bucket,2500,3,7500,Transfer,3000,9000,
INV0111,1/14/2025,Food items,Beans,60000,1,60000,Card,72000,72000,
INV0112,1/14/2025,Beverages,Water,1750,8,14000,Card,2100,16800,
INV0113,1/14/2025,Snacks,Biscuits,5200,4,20800,Cash,6240,24960,
INV0114,1/14/2025,Household,Shampoo,1200,2,2400,Transfer,1440,2880,
INV0115,1/14/2025,Food items,Bread,500,3,1500,Card,600,1800,
INV2774,1/14/2025,Food items,Tea,600,2,1200,Cash,720,1440,
INV2862,1/14/2025,Food items,Bread,500,2,1000,Card,600,1200,
INV2916,1/14/2025,Food items,Sugar,3600,9,32400,Cash,4320,38880,
INV3085,1/14/2025,Food items,Coffee,1900,10,19000,Transfer,2280,22800,
INV3297,1/14/2025,Food items,Bread,500,2,1000,Card,600,1200,
INV4150,1/14/2025,Electronics,LED Bulb,500,7,3500,Transfer,600,4200,
INV4197,1/14/2025,Food items,Beans,60000,7,420000,Card,72000,504000,
INV4323,1/14/2025,Clothing,Shoes,15000,5,75000,Transfer,18000,90000,
INV4330,1/14/2025,Food items,Yam Flour,62000,5,310000,Card,74400,372000,
INV4525,1/14/2025,Food items,Palm Oil,50000,4,200000,Transfer,60000,240000,
INV4531,1/14/2025,Clothing,Cap,2000,4,8000,Card,2400,9600,
INV4618,1/14/2025,Clothing,Jeans,10000,10,100000,Card,12000,120000,
INV4629,1/14/2025,Sport,Skipping Rope,3000,1,3000,Card,3600,3600,
INV4689,1/14/2025,Food items,Yam Flour,62000,1,62000,Transfer,74400,74400,
INV4736,1/14/2025,Pharmaceuticals,Cough Syrup,2000,3,6000,Transfer,2400,7200,
INV4756,1/14/2025,Pharmaceuticals,Vitamin C,1000,1,1000,Card,1200,1200,
INV4800,1/14/2025,Pharmaceuticals,Antibiotics,2000,7,14000,Cash,2400,16800,
INV4848,1/14/2025,Electronics,Power Bank,12000,9,108000,Transfer,14400,129600,
INV0116,1/15/2025,Household,Soap,1700,6,10200,Transfer,2040,12240,
INV0117,1/15/2025,Food items,Rice,48000,8,384000,Transfer,57600,460800,
INV0118,1/15/2025,Household,Shampoo,1200,8,9600,Cash,1440,11520,
INV0119,1/15/2025,Snacks,Chips,400,2,800,Cash,480,960,
INV0120,1/15/2025,Beverages,Water,1750,2,3500,Transfer,2100,4200,
INV0121,1/15/2025,Food items,Bread,500,3,1500,Cash,600,1800,
INV0122,1/15/2025,Household,Soap,1700,7,11900,Cash,2040,14280,
INV3187,1/15/2025,Household,Toothpaste,800,6,4800,Cash,960,5760,
INV3441,1/15/2025,Food items,Rice,48000,8,384000,Transfer,57600,460800,
INV3538,1/15/2025,Household,Soap,1700,3,5100,Transfer,2040,6120,
INV3963,1/15/2025,Sport,Football,2800,6,16800,Transfer,3360,20160,
INV3985,1/15/2025,Electronics,Earphones,1000,9,9000,Transfer,1200,10800,
INV4139,1/15/2025,Clothing,Wristwatch,12000,2,24000,Card,14400,28800,
INV4388,1/15/2025,Food items,Yam Flour,62000,5,310000,Transfer,74400,372000,
INV4390,1/15/2025,Household,Broom,500,9,4500,Transfer,600,5400,
INV4392,1/15/2025,Sport,Football,2800,7,19600,Card,3360,23520,
INV4580,1/15/2025,Food items,Rice,48000,2,96000,Card,57600,115200,
INV4583,1/15/2025,Pharmaceuticals,Antibiotics,2000,10,20000,Card,2400,24000,
INV4598,1/15/2025,Electronics,Extension Box,8000,5,40000,Card,9600,48000,
INV4697,1/15/2025,Pharmaceuticals,Cough Syrup,2000,7,14000,Transfer,2400,16800,
INV4717,1/15/2025,Household,Toilet Paper,4000,6,24000,Cash,4800,28800,
INV4740,1/15/2025,Household,Cooking Gas,1950,10,19500,Cash,2340,23400,
INV4786,1/15/2025,Electronics,Extension Box,8000,10,80000,Cash,9600,96000,
INV0123,1/16/2025,Household,Soap,1700,1,1700,Cash,2040,2040,
INV0124,1/16/2025,Food items,Spaghetti,6000,7,42000,Card,7200,50400,
INV0125,1/16/2025,Beverages,Fanta,2880,4,11520,Cash,3456,13824,
INV0126,1/16/2025,Food items,Spaghetti,6000,7,42000,Transfer,7200,50400,
INV0127,1/16/2025,Household,Shampoo,1200,4,4800,Transfer,1440,5760,
INV0128,1/16/2025,Beverages,Water,1750,7,12250,Card,2100,14700,
INV0129,1/16/2025,Snacks,Biscuits,5200,10,52000,Transfer,6240,62400,
INV2810,1/16/2025,Dairy,Butter,120,9,1080,Card,144,1296,
INV3276,1/16/2025,Food items,Bread,500,8,4000,Card,600,4800,
